Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/Z X,/Z Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y
1.557655345537494e-07,0.002855855056417715,1.557655345537494e-07,0,1.557655345537494e-07,0,1.557655345537494e-07,1.434426877400505,1.557655345537494e-07,0.05594516247535453,1.557655345537494e-07,0.4457553562872707,1.557655345537494e-07,1.424355688057663,1.557655345537494e-07,1.433028361107572
1.561783847219285e-07,0.00282633783142684,1.561783847219285e-07,0,1.561783847219285e-07,0,1.561783847219285e-07,1.437492822992249,1.561783847219285e-07,0.05842260071109218,1.561783847219285e-07,0.4314345210673038,1.561783847219285e-07,1.427697139501578,1.561783847219285e-07,1.436003231606256
1.570040850582869e-07,0.002776497250282259,1.570040850582869e-07,0,1.570040850582869e-07,0,1.570040850582869e-07,1.440855689125697,1.570040850582869e-07,0.06052309789953337,1.570040850582869e-07,0.402162247265198,1.570040850582869e-07,1.432632991693664,1.570040850582869e-07,1.439666058424556
1.584360199742694e-07,0.002708766225098257,1.584360199742694e-07,0,1.584360199742694e-07,0,1.584360199742694e-07,1.442040976973113,1.584360199742694e-07,0.06046165616658569,1.584360199742694e-07,0.3532116092719723,1.584360199742694e-07,1.438003179515557,1.584360199742694e-07,1.441801700933236
1.60260803763264e-07,0.002652613841808697,1.60260803763264e-07,0,1.60260803763264e-07,0,1.60260803763264e-07,1.440492460647373,1.60260803763264e-07,0.05940793775688036,1.60260803763264e-07,0.2964436595854231,1.60260803763264e-07,1.439600524890545,1.60260803763264e-07,1.441178914101233
1.624441545970562e-07,0.002613697487281252,1.624441545970562e-07,0,1.624441545970562e-07,0,1.624441545970562e-07,1.437363316471665,1.624441545970562e-07,0.05900404374377124,1.624441545970562e-07,0.2403570084871816,1.624441545970562e-07,1.433320437715147,1.624441545970562e-07,1.43860611848187
1.653708173520655e-07,0.002577608106798963,1.653708173520655e-07,0,1.653708173520655e-07,0,1.653708173520655e-07,1.430144085539527,1.653708173520655e-07,0.05684825531245907,1.653708173520655e-07,0.1807902028759112,1.653708173520655e-07,1.411227113883866,1.653708173520655e-07,1.432052194206549
1.678798974928129e-07,0.002552804490661012,1.678798974928129e-07,0,1.678798974928129e-07,0,1.678798974928129e-07,1.421740001090665,1.678798974928129e-07,0.05177146167974263,1.678798974928129e-07,0.1387862054781478,1.678798974928129e-07,1.370765487314857,1.678798974928129e-07,1.424272028539908
1.716086935783583e-07,0.002529067080970524,1.716086935783583e-07,0,1.716086935783583e-07,0,1.716086935783583e-07,1.405955144101204,1.716086935783583e-07,0.0419013211476079,1.716086935783583e-07,0.08989842623470254,1.716086935783583e-07,1.246341957427687,1.716086935783583e-07,1.409398231383178
1.755389876522214e-07,0.002516368736501056,1.755389876522214e-07,0,1.755389876522214e-07,0,1.755389876522214e-07,1.37781269217845,1.755389876522214e-07,0.03196421831058396,1.755389876522214e-07,0.05597871389927168,1.755389876522214e-07,1.020579714425212,1.755389876522214e-07,1.382187919344924
