Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
2.435240979288935e-06,0.003024137888693644,2.435240979288935e-06,0,2.435240979288935e-06,0,2.435240979288935e-06,-0.004923438833889519,2.435240979288935e-06,2.989105590168477,2.435240979288935e-06,2.999102470365807,2.435240979288935e-06,2.998965379809567,2.435240979288935e-06,0.0241758905816278
2.439114287561008e-06,0.002981663832041506,2.439114287561008e-06,0,2.439114287561008e-06,0,2.439114287561008e-06,-0.003313594875046555,2.439114287561008e-06,2.987077954143426,2.439114287561008e-06,2.999296000740976,2.439114287561008e-06,2.999247366025191,2.439114287561008e-06,0.02887928554742226
2.44296977858791e-06,0.002916730987717085,2.44296977858791e-06,0,2.44296977858791e-06,0,2.44296977858791e-06,0.003667691815633646,2.44296977858791e-06,2.98837726670803,2.44296977858791e-06,2.999384881964905,2.44296977858791e-06,2.999403172839028,2.44296977858791e-06,0.0503332960762645
2.447054453934132e-06,0.002849964087787126,2.447054453934132e-06,0,2.447054453934132e-06,0,2.447054453934132e-06,0.0130621439937641,2.447054453934132e-06,2.996335352588781,2.447054453934132e-06,2.999367692679884,2.447054453934132e-06,2.999434237058811,2.447054453934132e-06,0.1170541227929591
2.450886275425701e-06,0.002810524792632043,2.450886275425701e-06,0,2.450886275425701e-06,0,2.450886275425701e-06,0.02049682328151639,2.450886275425701e-06,3.003389224411623,2.450886275425701e-06,2.999306634226407,2.450886275425701e-06,2.999402093223351,2.450886275425701e-06,0.2488693788535883
2.45500091627326e-06,0.002806688542349326,2.45500091627326e-06,0,2.45500091627326e-06,0,2.45500091627326e-06,0.02583983642906683,2.45500091627326e-06,2.990554770234559,2.45500091627326e-06,2.999266012593897,2.45500091627326e-06,2.999376589439823,2.45500091627326e-06,0.4665306653436272
2.458779913548658e-06,0.002832968078428021,2.458779913548658e-06,0,2.458779913548658e-06,0,2.458779913548658e-06,0.02850809534518988,2.458779913548658e-06,2.940686435964251,2.458779913548658e-06,2.998992680398199,2.458779913548658e-06,2.999098642169206,2.458779913548658e-06,0.6552532371123893
2.46225547588339e-06,0.002862730074309825,2.46225547588339e-06,0,2.46225547588339e-06,0,2.46225547588339e-06,0.02963360591473159,2.46225547588339e-06,2.855488656941322,2.46225547588339e-06,2.998607295709869,2.46225547588339e-06,2.998696190446786,2.46225547588339e-06,0.8093167099689262
2.465969084684598e-06,0.002886577185128028,2.465969084684598e-06,0,2.465969084684598e-06,0,2.465969084684598e-06,0.03012018402653467,2.465969084684598e-06,2.721777014719007,2.465969084684598e-06,2.998250579077786,2.465969084684598e-06,2.998314427904995,2.465969084684598e-06,0.9728809456229097
2.466995442023356e-06,0.002892020380841924,2.466995442023356e-06,0,2.466995442023356e-06,0,2.466995442023356e-06,0.03018623418573334,2.466995442023356e-06,2.677598367365766,2.466995442023356e-06,2.998176185809422,2.466995442023356e-06,2.998234232160368,2.466995442023356e-06,1.018731720798334
2.469048156700872e-06,0.002901734352267751,2.469048156700872e-06,0,2.469048156700872e-06,0,2.469048156700872e-06,0.0302754559009706,2.469048156700872e-06,2.578101366110438,2.469048156700872e-06,2.998081562355047,2.469048156700872e-06,2.998128107769998,2.469048156700872e-06,1.109521543202786
2.471867511735914e-06,0.002914705078696769,2.471867511735914e-06,0,2.471867511735914e-06,0,2.471867511735914e-06,0.03035565807228965,2.471867511735914e-06,2.415386868729164,2.471867511735914e-06,2.998041468736976,2.471867511735914e-06,2.998075475585202,2.471867511735914e-06,1.229869068100592
2.47489765452484e-06,0.002927764509713038,2.47489765452484e-06,0,2.47489765452484e-06,0,2.47489765452484e-06,0.03041910691570726,2.47489765452484e-06,2.206902313227368,2.47489765452484e-06,2.998080513157955,2.47489765452484e-06,2.998105704847213,2.47489765452484e-06,1.358917979408492
