Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,/net1 (inv_lM0=4e-06) X,/net1 (inv_lM0=4e-06) Y,/net1 (inv_lM0=8e-06) X,/net1 (inv_lM0=8e-06) Y
3.428407589749663e-07,0.002002511284978498,4.124212777173285e-07,0.001331609873747371,  ,  ,  ,  ,3.428407589749663e-07,0.1424915019817876,4.124212777173285e-07,3.002467086580764,3.428407589749663e-07,3.003269564760974,4.124212777173285e-07,0.03114593627448957
3.449819360717669e-07,0.001976843935439431,4.16422721328025e-07,0.001325673810157975,  ,  ,  ,  ,3.449819360717669e-07,0.1424957362974532,4.16422721328025e-07,3.002358282209201,3.449819360717669e-07,3.003118205812449,4.16422721328025e-07,0.03113404192852966
3.471398278011011e-07,0.00196913265855221,4.205864095217778e-07,0.001344400914735392,  ,  ,  ,  ,3.471398278011011e-07,0.1424995524456458,4.205864095217778e-07,3.002252940771527,3.471398278011011e-07,3.002976068597424,4.205864095217778e-07,0.03112226625425057
3.492980235609782e-07,0.001990881482562526,4.244308456340099e-07,0.001366718954223289,  ,  ,  ,  ,3.492980235609782e-07,0.1425027396003994,4.244308456340099e-07,3.002162196094403,3.492980235609782e-07,3.002843326149788,4.244308456340099e-07,0.03111206475330828
3.515306576637614e-07,0.002019835306842204,4.289857679110601e-07,0.001378844375314261,  ,  ,  ,  ,3.515306576637614e-07,0.1425057041405006,4.289857679110601e-07,3.002062092404444,3.515306576637614e-07,3.002715063163664,4.289857679110601e-07,0.03110121537446061
3.534160694724399e-07,0.002029834031197496,4.332657100726483e-07,0.001368610761423739,  ,  ,  ,  ,3.534160694724399e-07,0.1425076410664679,4.332657100726483e-07,3.001974436339825,3.534160694724399e-07,3.002613295965208,4.332657100726483e-07,0.03109063323053777
3.555373419496292e-07,0.002017961345355587,4.379694890849598e-07,0.001341509815003179,  ,  ,  ,  ,3.555373419496292e-07,0.1425110008990607,4.379694890849598e-07,3.001884710776431,3.555373419496292e-07,3.00250546512953,4.379694890849598e-07,0.03107996381985227
3.577941916004976e-07,0.00198981629250507,4.420672339029205e-07,0.001325143485246624,  ,  ,  ,  ,3.577941916004976e-07,0.1425174596328726,4.420672339029205e-07,3.001811220005349,3.577941916004976e-07,3.002397905297612,4.420672339029205e-07,0.03107036292255847
3.598484265739896e-07,0.001970264903770078,4.458701446951712e-07,0.001330836542448783,  ,  ,  ,  ,3.598484265739896e-07,0.1425271325145673,4.458701446951712e-07,3.001748225665789,3.598484265739896e-07,3.002305954599092,4.458701446951712e-07,0.0310621506547945
3.619873509728943e-07,0.001975385855099029,4.500028519469795e-07,0.001355558347545404,  ,  ,  ,  ,3.619873509728943e-07,0.1425529668085802,4.500028519469795e-07,3.001683575865177,3.619873509728943e-07,3.002216456930265,4.500028519469795e-07,0.03105385447170356
3.641226236529989e-07,0.002002661002888924,4.541808795223875e-07,0.001375539504362236,  ,  ,  ,  ,3.641226236529989e-07,0.1425838625823932,4.541808795223875e-07,3.001621198507728,3.641226236529989e-07,3.002131728875708,4.541808795223875e-07,0.03104575420646735
3.662863238829954e-07,0.002025923879085142,4.586698773487565e-07,0.001376676370086007,  ,  ,  ,  ,3.662863238829954e-07,0.1425481723458807,4.586698773487565e-07,3.001558096413257,3.662863238829954e-07,3.002045402520767,4.586698773487565e-07,0.03103759714193813
