Total; tran P X,Total; tran P Y,/w_out X,/w_out Y,/net1 X,/net1 Y,freq X,freq Y
9.116732817732694e-08,0.000990426941366159,9.116732817732694e-08,2.912514157609701,9.116732817732694e-08,-0.01751597117657689,  ,  
9.208870599176188e-08,0.001024172965890494,9.208870599176188e-08,2.764839247940319,9.208870599176188e-08,-0.03472966671548851,  ,  
9.336786644667139e-08,0.001048358744263061,9.336786644667139e-08,2.445097510450428,9.336786644667139e-08,-0.06193414468123268,  ,  
9.48630950703252e-08,0.001026658051552296,9.48630950703252e-08,1.881393443149264,9.48630950703252e-08,-0.09353372914162487,  ,  
9.59667481117955e-08,0.0009937196999938722,9.59667481117955e-08,1.397554400569891,9.59667481117955e-08,-0.08031629171054518,  ,  
9.689005731156897e-08,0.0009708341323288749,9.689005731156897e-08,1.046826204853222,9.689005731156897e-08,0.01033190567395633,  ,  
9.777919533319119e-08,0.0009554704037739271,9.777919533319119e-08,0.8081297762322023,9.777919533319119e-08,0.216370846659411,  ,  
9.887453080762759e-08,0.0009438672112762698,9.887453080762759e-08,0.5976424785616097,9.887453080762759e-08,0.560929019450283,  ,  
9.975702674031139e-08,0.0009438222365125496,9.975702674031139e-08,0.4372271500683248,9.975702674031139e-08,0.8601341824009043,  ,  
1.008040016438881e-07,0.000963587888045004,1.008040016438881e-07,0.2806692751589971,1.008040016438881e-07,1.241556626074786,  ,  
1.018602151163014e-07,0.001002050125025805,1.018602151163014e-07,0.196094105695288,1.018602151163014e-07,1.60851632458186,  ,  
1.028733250229982e-07,0.001035498669061663,1.028733250229982e-07,0.1447141820500361,1.028733250229982e-07,1.900887285732695,  ,  
1.041821693961153e-07,0.001047130090570271,1.041821693961153e-07,0.09906571928961612,1.041821693961153e-07,2.177382505309501,  ,  
1.055167435660278e-07,0.001018408292903802,1.055167435660278e-07,0.06746017013496824,1.055167435660278e-07,2.353725258918383,  ,  
1.065641436695534e-07,0.0009877916709022309,1.065641436695534e-07,0.05234747583756663,1.065641436695534e-07,2.451291186254782,  ,  
1.074242734768751e-07,0.0009678105260487654,1.074242734768751e-07,0.04536921886837782,1.074242734768751e-07,2.526685654457193,  ,  
1.083979624508378e-07,0.0009519433026671376,1.083979624508378e-07,0.04123157789338139,1.083979624508378e-07,2.617970768307933,  ,  
1.086825212750286e-07,0.0009481554253335919,1.086825212750286e-07,0.04059551109739865,1.086825212750286e-07,2.646680468612509,  ,  
1.092516389234102e-07,0.0009437810228364617,1.092516389234102e-07,0.03857255880344268,1.092516389234102e-07,2.700058528541181,  ,  
1.098672458485653e-07,0.0009426644290142905,1.098672458485653e-07,0.03539854291641212,1.098672458485653e-07,2.748952595605108,  ,  
1.108537653561689e-07,0.0009541540436606523,1.108537653561689e-07,0.03074842415747072,1.108537653561689e-07,2.816034203632923,  ,  
1.11753760652141e-07,0.0009829933061165095,1.11753760652141e-07,0.02765802101297228,1.11753760652141e-07,2.871270898104993,  ,  
1.127388671896407e-07,0.001019994443493356,1.127388671896407e-07,0.02350104460006133,1.127388671896407e-07,2.915953533617266,  ,  
1.138011946814466e-07,0.00104571359390594,1.138011946814466e-07,0.01938650897982017,1.138011946814466e-07,2.948456837561078,  ,  
1.148706305711216e-07,0.001043436015050846,1.148706305711216e-07,0.01607303801422667,1.148706305711216e-07,2.969414547065033,  ,  
1.160427847281699e-07,0.001013959509133079,1.160427847281699e-07,0.0134343579833272,1.160427847281699e-07,2.983896111877344,  ,  
1.170175400612794e-07,0.0009859650973244251,1.170175400612794e-07,0.0119083282407379,1.170175400612794e-07,2.991934359319267,  ,  
1.178406523088384e-07,0.0009672424481878566,1.178406523088384e-07,0.01090508426106065,1.178406523088384e-07,2.996686561376016,  ,  
1.188131219231708e-07,0.0009515321501122429,1.188131219231708e-07,0.009960019962214534,1.188131219231708e-07,3.000494010859268,  ,  
1.191000438555286e-07,0.0009477842047258801,1.191000438555286e-07,0.009724640010350364,1.191000438555286e-07,3.001314840453407,  ,  
1.196738877202441e-07,0.0009435933869116935,1.196738877202441e-07,0.009253523851493054,1.196738877202441e-07,3.002342513968396,  ,  
1.20281449603134e-07,0.0009426738888387176,1.20281449603134e-07,0.008812505182818323,1.20281449603134e-07,3.002847452747033,  ,  
1.21166335483673e-07,0.0009525801643376135,1.21166335483673e-07,0.008348933517003283,1.21166335483673e-07,3.003343949910756,  ,  
1.220375800557007e-07,0.0009793318691019948,1.220375800557007e-07,0.008014674685232976,1.220375800557007e-07,3.003689185602676,  ,  
1.229961849602427e-07,0.001015629760579861,1.229961849602427e-07,0.007668474333006642,1.229961849602427e-07,3.003551029845493,  ,  
1.240434364073065e-07,0.001043747670411761,1.240434364073065e-07,0.007397349539782444,1.240434364073065e-07,3.003326219788768,  ,  
1.256323724648905e-07,0.001036766808119671,1.256323724648905e-07,0.007092779146005579,1.256323724648905e-07,3.00305395516242,  ,  
1.267623947095316e-07,0.00100411838910148,1.267623947095316e-07,0.006918578178896137,1.267623947095316e-07,3.002895263527571,  ,  
